,Date,AAPL_moving_avg,GOOGL_moving_avg,META_moving_avg,AMZN_moving_avg
0,09/23/2022,153.04857142857145,101.1542857142857,145.04285714285714,120.9057142857143
1,09/22/2022,153.76285714285714,102.04857142857144,146.62285714285713,123.02714285714286
2,09/21/2022,153.92,102.64571428571428,148.0957142857143,124.38571428571429
3,09/20/2022,155.30714285714288,104.3,151.93,126.94428571428573
4,09/19/2022,155.3742857142857,105.65857142857142,155.22428571428574,128.52714285714288
5,09/16/2022,155.36999999999998,106.41714285714285,157.23000000000002,129.2642857142857
6,09/15/2022,156.12142857142857,107.36714285714287,159.24428571428572,130.10714285714286
7,09/14/2022,156.43,107.92428571428572,160.52857142857144,130.08285714285714
8,09/13/2022,156.4842857142857,108.33142857142857,161.79285714285714,129.92285714285714
9,09/12/2022,157.07285714285715,109.10571428571428,163.53999999999996,130.06571428571428
10,09/09/2022,156.18571428571428,108.72857142857143,162.67857142857142,128.68285714285713
11,09/08/2022,156.4057142857143,108.48428571428573,160.96571428571428,128.03428571428572
12,09/07/2022,157.3957142857143,108.63285714285713,160.55285714285714,128.03
13,09/06/2022,158.49,108.75999999999999,160.75142857142856,128.21142857142857
14,09/02/2022,160.70428571428573,110.16571428571429,162.21428571428572,129.80714285714285
15,09/01/2022,162.37857142857143,111.0,162.6342857142857,130.70571428571427
16,08/31/2022,163.7028571428571,111.58857142857143,162.02714285714288,131.5342857142857
17,08/30/2022,165.18142857142857,112.44857142857143,162.0442857142857,132.45571428571427
18,08/29/2022,166.9828571428571,113.63,163.58714285714288,133.81285714285713
19,08/26/2022,168.80714285714288,115.16571428571429,165.8,135.6
20,08/25/2022,170.3685714285714,116.48142857142855,167.66714285714286,137.2214285714286
21,08/24/2022,170.79714285714286,117.20285714285714,169.1942857142857,138.29285714285714
22,08/23/2022,171.6057142857143,118.40142857142858,171.71285714285713,139.63285714285715
23,08/22/2022,172.30142857142854,119.51857142857145,174.48285714285717,141.05142857142854
24,08/19/2022,172.43285714285713,120.1757142857143,176.54571428571427,142.11142857142855
25,08/18/2022,172.1071428571429,120.53142857142859,178.02857142857144,142.7485714285714
26,08/17/2022,170.78857142857143,120.0257142857143,177.15285714285713,142.11
27,08/16/2022,169.4057142857143,119.70428571428572,176.49571428571429,141.7257142857143
28,08/15/2022,168.3085714285714,119.10000000000001,174.73000000000002,141.15714285714284
29,08/12/2022,167.25428571428571,118.5442857142857,173.25571428571428,141.07
30,08/11/2022,166.40142857142857,118.03000000000002,171.5842857142857,140.4942857142857
31,08/10/2022,165.19,117.5,169.11285714285714,139.5685714285714
32,08/09/2022,164.08571428571426,116.80857142857143,166.48285714285717,138.5257142857143
33,08/08/2022,163.74142857142857,116.7642857142857,165.1357142857143,138.1142857142857
34,08/05/2022,162.66714285714284,116.32428571428571,163.77428571428572,135.66714285714284
35,08/04/2022,161.44428571428574,115.6942857142857,164.12714285714287,132.8342857142857
36,08/03/2022,159.41428571428568,113.81285714285715,162.49571428571429,128.8685714285714
37,08/02/2022,157.53142857142856,112.30285714285712,162.18857142857146,126.24285714285713
38,08/01/2022,156.68571428571428,111.27,163.4857142857143,124.5657142857143
39,07/29/2022,155.8057142857143,111.19571428571429,166.80571428571426,123.02857142857144
40,07/28/2022,154.45285714285714,110.85000000000001,170.2328571428571,121.28857142857143
41,07/27/2022,153.54571428571427,110.79142857142857,172.38428571428568,120.70714285714287
42,07/26/2022,152.15714285714284,110.21571428571428,172.04857142857145,119.67714285714285
43,07/25/2022,151.95285714285714,111.18142857142857,172.8414285714286,119.49714285714285
44,07/22/2022,151.31285714285713,111.59,171.61285714285714,117.99571428571427
45,07/21/2022,150.08428571428573,112.08285714285715,170.78714285714287,116.27857142857142
46,07/20/2022,148.72857142857143,112.03714285714285,167.9442857142857,114.07714285714287
47,07/19/2022,147.5614285714286,112.29142857142857,165.05714285714288,112.50285714285714
48,07/18/2022,146.99571428571429,113.08285714285715,164.35714285714286,112.12142857142858
49,07/15/2022,146.89285714285714,114.47571428571429,165.06571428571428,112.48857142857143
50,07/14/2022,145.85714285714286,114.8742857142857,165.79,112.60000000000001
51,07/13/2022,144.86999999999998,115.28714285714285,167.23857142857145,113.01
52,07/12/2022,143.93285714285713,114.9142857142857,166.74428571428572,112.89
53,07/11/2022,142.62714285714287,114.19142857142857,166.4557142857143,112.46000000000001
54,07/08/2022,141.82142857142858,113.62285714285714,166.60714285714286,112.05571428571429
55,07/07/2022,140.45000000000002,112.57428571428572,165.15000000000003,110.89285714285712
56,07/06/2022,139.78,112.15285714285714,164.76428571428573,110.44857142857143
57,07/05/2022,139.6,112.63857142857144,164.82000000000002,110.75285714285715
58,07/01/2022,139.12999999999997,112.49285714285715,163.47142857142856,110.60142857142857
59,06/30/2022,138.6185714285714,112.88571428571429,162.8742857142857,110.51428571428573
60,06/29/2022,138.49714285714285,113.25428571428571,162.27428571428572,110.86714285714285
61,06/28/2022,137.40142857142857,112.60285714285713,162.24571428571429,110.4814285714286
62,06/27/2022,136.34714285714287,111.74857142857142,162.27285714285713,109.94714285714285
63,06/24/2022,135.45714285714286,110.88142857142857,162.25285714285715,109.1542857142857
64,06/23/2022,134.18571428571428,109.27428571428571,161.33428571428573,107.13285714285712
65,06/22/2022,133.27285714285713,108.43857142857144,162.12142857142857,105.88
66,06/21/2022,133.52714285714288,108.39142857142858,164.9385714285714,105.97999999999999
67,06/17/2022,134.4942857142857,108.86285714285714,168.78857142857143,107.04714285714284
68,06/16/2022,136.83714285714285,110.29857142857142,173.48857142857145,109.1842857142857
69,06/15/2022,139.5014285714286,111.88714285714285,178.45714285714286,111.94714285714288
70,06/14/2022,141.03142857142856,112.89571428571428,182.0142857142857,114.39285714285714
71,06/13/2022,142.83428571428573,114.01285714285713,185.8785714285714,117.25571428571429
72,06/10/2022,145.5957142857143,115.61714285714287,190.82142857142858,120.37571428571428
73,06/09/2022,147.25,116.00714285714285,192.68857142857138,122.09428571428573
74,06/08/2022,148.1357142857143,115.85285714285713,194.06571428571428,122.67428571428572
75,06/07/2022,148.3757142857143,115.15714285714284,193.84999999999997,121.81285714285714
76,06/06/2022,147.67142857142858,113.82000000000001,193.27571428571426,120.11
77,06/03/2022,146.86857142857144,112.24714285714286,191.7871428571428,117.53714285714285
78,06/02/2022,146.15142857142857,111.02285714285715,190.43,114.92999999999999
79,06/01/2022,144.99428571428572,110.14714285714287,190.05428571428573,112.36571428571428
80,05/31/2022,143.40571428571428,109.43571428571428,190.75428571428571,110.35285714285716
81,05/27/2022,141.7642857142857,108.95285714285714,190.41857142857143,108.5114285714286
82,05/26/2022,140.50428571428571,108.89285714285714,190.00571428571428,107.36285714285715
83,05/25/2022,141.28428571428572,110.13285714285713,191.57571428571424,107.97571428571428
84,05/24/2022,142.00142857142856,111.36571428571428,193.89142857142855,108.55142857142856
85,05/23/2022,142.9657142857143,112.80571428571427,196.3685714285714,109.83142857142856
86,05/20/2022,142.88714285714286,112.99857142857141,195.65571428571428,109.74142857142859
87,05/19/2022,144.16,113.66857142857144,194.97,109.42428571428573
88,05/18/2022,146.61142857142858,114.24142857142859,195.87857142857143,109.64428571428572
89,05/17/2022,148.21714285714285,114.32857142857142,196.4457142857143,109.88428571428571
90,05/16/2022,149.3657142857143,114.22571428571429,196.60999999999999,109.79857142857142
91,05/13/2022,150.97,114.52142857142857,197.78714285714287,110.59857142857142
92,05/12/2022,153.67142857142858,115.40857142857142,201.32857142857145,112.43714285714285
93,05/11/2022,156.0885714285714,116.05,204.29857142857142,114.91142857142859
94,05/10/2022,157.72571428571428,116.47571428571429,207.49714285714285,117.64428571428572
95,05/09/2022,158.17428571428573,116.4357142857143,207.9,119.84714285714287
96,05/06/2022,159.82857142857145,117.2942857142857,209.26,124.96285714285715
97,05/05/2022,159.72714285714284,117.08571428571427,205.14285714285714,128.3057142857143
98,05/04/2022,159.73142857142855,117.39142857142858,201.23857142857145,131.58857142857144
99,05/03/2022,159.28285714285715,117.50714285714285,196.03571428571428,134.46571428571428
100,05/02/2022,159.61285714285714,117.83714285714287,192.04714285714286,137.33714285714285
101,04/29/2022,160.82142857142858,119.01285714285716,188.7528571428571,140.73714285714286
102,04/28/2022,162.19,121.00285714285714,188.74571428571429,144.98285714285717
103,04/27/2022,162.72714285714284,122.64428571428572,190.4,146.91428571428574
104,04/26/2022,163.94142857142856,124.55714285714286,195.51714285714283,149.00142857142856
105,04/25/2022,165.1542857142857,125.71142857142857,199.69285714285715,150.76142857142855
106,04/22/2022,166.22857142857143,126.6857142857143,203.69285714285715,152.1142857142857
107,04/21/2022,167.06714285714284,127.83857142857143,207.98285714285717,153.03428571428572
108,04/20/2022,166.97142857142856,128.41142857142856,212.03857142857143,153.43714285714285
109,04/19/2022,167.37999999999997,129.16142857142856,215.1685714285714,153.50285714285715
110,04/18/2022,168.05714285714288,130.00142857142856,215.9742857142857,153.45428571428573
111,04/14/2022,169.02285714285716,131.26857142857142,217.7642857142857,154.3085714285714
112,04/13/2022,170.41857142857143,133.2485714285714,220.85857142857142,156.07285714285715
113,04/12/2022,171.56714285714287,135.11714285714285,223.5585714285714,157.90285714285713
114,04/11/2022,172.5171428571429,136.8942857142857,225.0885714285714,159.72714285714287
115,04/08/2022,173.78285714285715,138.35857142857142,225.93142857142857,161.42428571428573
116,04/07/2022,174.87999999999997,139.59428571428572,226.72,163.1157142857143
117,04/06/2022,175.8542857142857,140.54,227.70714285714283,164.76285714285714
118,04/05/2022,176.3928571428571,141.24142857142857,227.74857142857144,166.2242857142857
119,04/04/2022,176.34428571428572,141.3957142857143,226.31714285714284,166.32571428571427
120,04/01/2022,175.72,141.1957142857143,224.27142857142854,165.65428571428575
121,03/31/2022,175.1342857142857,140.92857142857142,222.6442857142857,165.63285714285715
122,03/30/2022,174.30714285714288,141.04285714285712,221.82857142857145,165.90285714285713
123,03/29/2022,172.5371428571428,140.20857142857145,219.49142857142857,165.21571428571428
124,03/28/2022,170.39714285714288,139.29714285714286,217.5814285714286,164.0642857142857
125,03/25/2022,168.25714285714284,138.20857142857145,215.33142857142857,162.3857142857143
126,03/24/2022,166.09571428571425,137.01000000000002,212.73285714285709,160.71857142857144
127,03/23/2022,163.3842857142857,135.24285714285716,208.79857142857142,158.39285714285714
128,03/22/2022,160.58571428571426,133.48142857142858,204.96571428571426,155.31285714285715
129,03/21/2022,158.57285714285715,132.05285714285714,200.8171428571429,152.5457142857143
130,03/18/2022,157.59285714285716,131.52857142857144,198.49142857142857,150.45000000000002
131,03/17/2022,157.4457142857143,131.14142857142855,195.92142857142858,147.3114285714286
132,03/16/2022,156.99142857142857,130.17857142857142,193.41428571428574,144.27857142857144
133,03/15/2022,156.95000000000002,129.19285714285715,191.1057142857143,142.04285714285714
134,03/14/2022,158.1042857142857,129.57999999999998,192.25285714285715,141.7957142857143
135,03/11/2022,160.3342857142857,130.71571428571428,194.58714285714288,142.66
136,03/10/2022,162.02428571428572,131.38714285714286,197.5157142857143,143.59285714285713
137,03/09/2022,162.69285714285715,131.61999999999998,198.69857142857146,144.20999999999998
138,03/08/2022,163.00285714285715,131.85428571428568,200.48857142857142,146.25
139,03/07/2022,164.0614285714286,132.90571428571428,203.37285714285716,148.79
140,03/04/2022,164.55285714285714,133.80714285714288,206.24857142857144,150.77714285714288
141,03/03/2022,164.10999999999999,133.19,206.01857142857142,150.6614285714286
142,03/02/2022,163.83714285714285,132.6057142857143,205.89142857142858,150.99
143,03/01/2022,163.94285714285712,132.01000000000002,205.61285714285714,151.06857142857143
144,02/28/2022,164.7542857142857,131.79285714285712,206.21571428571428,151.57
145,02/25/2022,165.81571428571428,132.17571428571426,207.00285714285715,152.21857142857144
146,02/24/2022,166.95000000000002,132.48285714285714,208.50571428571428,152.60714285714286
147,02/23/2022,167.82714285714286,132.88857142857142,209.94857142857146,153.15142857142857
148,02/22/2022,169.05142857142854,133.84428571428572,212.96285714285713,154.35999999999999
149,02/18/2022,170.16571428571427,135.10285714285712,216.67571428571426,155.61714285714285
150,02/17/2022,171.44857142857146,136.70142857142858,220.36714285714285,156.8442857142857
151,02/16/2022,172.29857142857142,137.68142857142857,222.14857142857142,157.81
152,02/15/2022,172.17142857142858,137.89000000000001,223.34428571428572,157.7871428571428
153,02/14/2022,172.11428571428573,138.8442857142857,225.64285714285714,157.9485714285714
154,02/11/2022,172.68857142857146,139.9242857142857,228.50857142857143,155.61714285714285
155,02/10/2022,173.71714285714285,141.8842857142857,243.28714285714287,155.2342857142857
156,02/09/2022,174.07285714285712,141.74428571428572,256.27714285714285,154.11857142857144
157,02/08/2022,173.85857142857142,140.8457142857143,267.8857142857143,152.45857142857145
158,02/07/2022,173.21571428571428,139.98142857142858,279.53285714285715,149.96857142857144
159,02/04/2022,171.4385714285714,138.5242857142857,289.4942857142857,147.3542857142857
160,02/03/2022,169.62428571428572,136.5157142857143,297.7142857142857,144.67285714285714
161,02/02/2022,167.75,134.20857142857145,306.6271428571429,144.8357142857143
162,02/01/2022,165.71857142857147,131.75142857142856,304.58571428571435,143.96857142857144
163,01/31/2022,163.97571428571428,130.70999999999998,302.32428571428574,142.74714285714285
164,01/28/2022,162.50857142857143,130.4257142857143,302.7957142857143,143.04714285714286
165,01/27/2022,161.9228571428571,130.67857142857144,305.34999999999997,144.80714285714285
166,01/26/2022,163.43428571428572,131.67857142857142,308.7085714285714,147.5614285714286
167,01/25/2022,165.34571428571425,133.14285714285717,314.03285714285715,150.88571428571427
168,01/24/2022,167.1185714285714,134.80714285714285,317.7942857142857,153.91714285714284
169,01/21/2022,169.1057142857143,136.32571428571427,321.3014285714285,156.86999999999998
170,01/20/2022,170.91571428571427,137.66714285714286,325.75857142857143,160.1157142857143
171,01/19/2022,172.01285714285714,138.43285714285716,327.40285714285716,161.51857142857145
172,01/18/2022,172.86142857142858,138.7042857142857,329.1457142857143,162.4114285714286
173,01/14/2022,173.1757142857143,138.9542857142857,331.19,163.03
174,01/13/2022,173.44,138.71142857142857,330.0857142857143,163.34714285714284
175,01/12/2022,174.51285714285714,139.54142857142855,331.5214285714286,164.24857142857147
176,01/11/2022,175.4385714285714,140.04999999999998,332.27571428571434,164.99
177,01/10/2022,175.49833333333333,140.10166666666666,331.9266666666667,164.92833333333334
178,01/07/2022,176.16,140.38799999999998,332.698,165.616
179,01/06/2022,177.15749999999997,141.23,332.925,166.3825
180,01/05/2022,178.87666666666667,142.39000000000001,333.08,167.42666666666665
181,01/04/2022,180.855,144.695,337.53499999999997,168.96
182,01/03/2022,182.01,144.99,338.54,170.4
